date,max_temp,min_temp,avg_temp
2026-07-17,27.5,20.3,23.9
2026-07-18,29.5,18.2,23.85
2026-07-19,24.1,14.3,19.200000000000003
2026-07-20,24.0,13.5,18.75
2026-07-21,26.0,14.0,20.0
2026-07-22,25.8,14.8,20.3
2026-07-23,25.1,15.8,20.450000000000003
2026-07-24,27.8,16.5,22.15
